v1,v2,weight
1204,2142,1
1204,3301,1
1204,3819,1
3516,905,1
3516,554,1
3516,5289,1
3516,64815,1
3516,966,1
3516,38092,1
3516,4559,1
3516,603,1
3516,3819,1
38092,905,1
38092,554,1
38092,5289,1
38092,64815,1
38092,966,1
38092,4559,1
38092,603,1
38092,3819,1
4559,905,1
4559,554,1
4559,5289,1
4559,64815,1
4559,966,1
4559,603,1
2647,905,1
2647,3493,1
2647,554,3
2647,5289,1
2647,64815,1
2647,3516,1
2647,966,3
2647,38092,1
2647,4559,1
2647,603,1
2647,3301,1
2647,3819,1
603,905,2
603,64815,4
603,966,68
2142,905,1
2142,3493,1
2142,554,1
2142,5289,1
2142,64815,1
2142,3516,1
2142,966,1
2142,38092,1
2142,4559,1
2142,2647,1
2142,603,1
2142,3301,1
2142,3819,1
3301,905,1
3301,3493,1
3301,554,1
3301,5289,1
3301,64815,1
3301,3516,1
3301,966,1
3301,38092,1
3301,4559,1
3301,603,1
3301,3819,1
1128,14340,1
1128,1413,1
1128,905,1
1128,3493,4
1128,167,1
1128,1193,1
1128,554,1
1128,5289,1
1128,64815,1
1128,1204,1
1128,3516,1
1128,966,6
1128,38092,1
1128,4559,1
1128,2647,1
1128,603,1
1128,2142,1
1128,3301,1
1128,3819,1
3819,905,1
3819,554,2
3819,5289,1
3819,64815,1
3819,966,11
3819,4559,1
3819,603,1
39,966,86
4423,4427,6
4423,555,1
4423,905,1
4423,601,2
345,4423,9
345,4006,1
345,555,1
345,905,1
345,601,2
4006,966,3
4006,4423,1
4006,4427,2
4006,555,1
4006,905,1
4006,601,1
11271,966,3
11271,4423,2
11271,345,1
11271,4006,1
11271,4427,1
11271,555,1
11271,167,1
11271,1193,1
11271,905,1
11271,601,1
4427,555,1
4427,905,1
4427,601,1
555,966,2
555,905,1
555,601,2
167,4423,1
167,345,2
167,4006,1
167,4427,2
167,555,1
167,601,1
1193,4423,1
1193,345,1
1193,4006,1
1193,4427,1
1193,555,1
1193,601,1
601,966,7
601,905,1
137,438,2
137,3541,2
743,966,3
1138,987,1
3541,987,2
966,987,3
30183,966,12
1232,854,8
1232,28178,2
854,966,25
28178,854,1
28178,966,2
1232,1746,1
1232,438,32
1073,966,19
1073,64815,3
1073,1232,3
1073,1746,1
1073,3541,3
1073,438,5
1746,438,2
438,64815,2
167,39,2
39,905,1
1193,39,1
1116,966,1
1116,167,1
1116,39,1
1116,1193,1
1116,905,1
4419,703,2
3541,703,2
438,4419,64
438,703,3
703,966,4
1254,438,4
1254,966,11
1202,1232,1
1202,28178,1
28178,3541,1
167,680,2
167,179,1
167,821,1
167,188,1
167,4169,1
167,854,2
167,4071,1
167,4337,1
680,905,1
680,821,1
680,854,1
1193,680,1
1193,1202,1
1193,179,1
1193,821,1
1193,188,1
1193,4419,1
1193,4169,1
1193,854,1
1193,3541,1
1193,4071,1
1193,4337,1
554,680,1
554,821,1
554,854,3
64815,680,1
64815,821,1
64815,854,1
1202,905,1
1202,167,1
1202,554,2
1202,64815,2
1202,179,1
1202,821,1
1202,188,2
1202,4419,2
1202,4169,1
1202,854,1
1202,603,3
1202,4071,1
1202,4337,1
179,905,1
179,680,2
179,554,1
179,64815,1
179,821,1
179,188,1
179,4169,1
179,854,1
179,3541,3
179,603,2
179,4071,1
179,4337,1
821,905,1
821,966,1
821,854,1
188,905,1
188,680,1
188,554,2
188,64815,3
188,821,1
188,4169,2
188,854,1
188,3541,4
188,603,4
188,4071,1
188,4337,1
4419,905,1
4419,680,6
4419,554,17
4419,64815,2
4419,821,1
4419,854,9
4419,603,21
4169,905,1
4169,680,1
4169,554,1
4169,64815,1
4169,821,1
4169,4419,1
4169,966,1
4169,854,1
4169,603,1
4169,4337,1
1107,905,1
